company_lower,posting_count,avg_salary_gap_pct,avg_abs_salary_gap_pct,median_salary,median_predicted_salary,external_rating,external_review_count,external_rating_source,external_match_method
harnham - data & analytics recruitment,61,0.04123317490733192,0.23326394071094872,72500.0,74644.08850599942,4.6,289,google_places,api
itol recruit,60,-0.02623326595820497,0.04367053289276123,40000.0,41240.87855702506,,,google_places,no_match
it career switch,55,-0.4418102106045102,0.4418102106045102,35000.0,61936.83140987772,,,google_places,filtered
jpmorganchase,31,-0.012892408606278848,0.11029257475522099,64095.02,62380.573409758246,1.3,11,google_places,api
amazon,31,-0.11992092377942752,0.14443459986370805,55955.82,63157.31564299414,3,2,google_places,api
newto training,23,-0.1902982005221182,0.2649564360995474,51500.0,55337.18961954411,,,google_places,filtered
itonlinelearning recruitment,18,-0.24364574023588123,0.27442874580123144,34618.494999999995,45634.732092272716,,,google_places,filtered
mindrift,16,-0.013503787335113605,0.13367537993165,60885.815,60108.43802718107,,,google_places,no_match
wise,14,0.04866736236455547,0.07903465356892254,68197.34,66984.57730907507,4.9,296,google_places,api
blackrock,13,0.11319198101824468,0.13550227157732378,66140.65,62252.40504478992,4.3,571,google_places,api
omnicom media group,11,-0.20829735575502298,0.20829735575502298,48464.07,63513.54034954081,4.4,12,google_places,api
capco,10,0.033124389915060816,0.08819707555818188,65908.82,62380.573409758246,4.9,8,google_places,api
addepar,10,-0.008100781797963285,0.11559524507824932,54549.45,54829.332631891084,4.4,9,google_places,api
deliveroo,10,-0.075819866287043,0.1538051262885564,60303.369999999995,69972.31090803244,1.8,1037,google_places,api
g-research,9,-0.07267714679265985,0.1995415462190372,59696.37,71378.38590937451,4,33,google_places,api
barclays uk,9,-0.10756076915910372,0.1748214011505038,50080.47,45220.939087291255,3.9,367,google_places,api
anson mccade,8,0.15177865052581718,0.28552417286962317,92917.775,73788.00572048468,3.4,16,google_places,api
asos,8,-0.12112837919154298,0.13109502623649374,58975.985,69980.41505111489,5,1,google_places,api
speechify,8,-0.13345646206717926,0.13345646206717926,53573.905,61010.05592549478,4.1,9,google_places,api
digital waffle,7,0.23149894413010044,0.24043353749281401,80000.0,64584.449854207334,4.7,118,google_places,api
tomoro,7,0.1900214020207829,0.1900214020207829,80000.0,70448.65748537667,4.9,118,google_places,api
tenth revolution group,7,0.08335942382215146,0.23073668088440819,75000.0,59639.000528463126,2.5,8,google_places,api
harnham,7,0.04589063648087511,0.13442356267258498,63159.36,67458.71539186957,4.6,289,google_places,api
sr2 | socially responsible recruitment | certified b corporation™,7,-0.0028312017504753995,0.06613782854372632,76819.23,75690.32223571111,,,google_places,no_match
royal london group,7,-0.1125651917786932,0.19524428963645266,51239.45,61936.83140987772,1.4,59,google_places,api
sword group,6,0.12597369264065078,0.15756126968751735,63760.66,62380.573409758246,4.7,27,google_places,api
oryxsearch.io,6,0.1004108189423621,0.1654627901186652,75880.095,64151.12579207228,,,google_places,no_match
preply,6,0.09303315791350414,0.11980875575068077,72706.01,67930.94499136442,,,google_places,no_match
randstad technologies,6,0.08995208856719795,0.08995208856719795,118950.0,114754.91354514104,4.2,116,google_places,api
jacobs,6,0.007794082253790434,0.11222649131773788,65653.61,61496.13399893085,4,13,google_places,api
optima partners,6,-0.014516493115551624,0.2826889042706739,54112.74,64145.219235440105,1,1,google_places,api
fdm group,6,-0.02913033154736397,0.12016936192998622,56042.845,59692.30404540324,3.3,12,google_places,api
faculty ai,6,-0.030027011589265174,0.13583376529745975,61120.485,67814.8252331826,4.8,13,google_places,api
amazon eu sarl,6,-0.12785967328961692,0.1746854632684428,53066.205,65100.4867374933,3,641,google_places,api
stantec,6,-0.16584276154554636,0.16584276154554636,51802.185,61936.83140987772,,,google_places,no_match
mercor,6,-0.16906267100735795,0.1771687404508084,53757.45,65048.370182355655,4,143,google_places,api
adria solutions,5,0.1265035110938847,0.1265035110938847,75000.0,67049.39925738086,4.9,34,google_places,api
michael page technology,5,0.08116967489543722,0.35534346286372026,57500.0,63160.45366219277,4.9,503,google_places,api
dojo,5,0.013564712562551342,0.18553095214271248,61805.57,61936.83140987772,4.6,9,google_places,api
amazon development centre  limited,5,-0.0014700788238110052,0.12350404699356088,63126.66,65256.503557435266,4.7,483,google_places,api
leidos innovations uk limited,5,-0.04741655882333935,0.2932358409770076,45000.0,61936.83140987772,4.2,5,google_places,api
relay technologies,5,-0.10643579615783065,0.11124989087557383,53320.34,61048.43977374586,3.2,44,google_places,api
relx inc,5,-0.1728370523303954,0.1728370523303954,55273.96,58018.717294407215,4.4,11,google_places,api
dunnhumby,5,-0.2492668272992536,0.2492668272992536,47842.16,65256.503557435266,4.3,60,google_places,api
ibm,4,0.2948753711044696,0.2948753711044696,81098.70999999999,61936.83140987772,4.3,16,google_places,api
mcs group,4,0.24641480339130756,0.2782435237036423,85000.0,64890.82208491622,4.9,1510,google_places,api
artis recruitment,4,0.23975728095381876,0.23975728095381876,62500.0,58739.18626180207,3.3,7,google_places,api
russell tobin,4,0.12257809347544801,0.12257809347544801,78419.54500000001,69629.47498907078,4.1,107,google_places,api
adria solutions ltd,4,0.06511970100839207,0.06511970100839207,68750.0,66893.88989100918,4.9,34,google_places,api
5v video,4,0.04399042921509996,0.06793594145135472,79202.2,75946.21370312409,5,16,google_places,api
zopa,4,-0.026082807705726258,0.14558743855326983,53581.31,61048.43977374586,,,,
barclays,4,-0.03037673614068151,0.1385486234107715,49315.994999999995,45491.99504075947,,,,
zopa bank,4,-0.05829949453089626,0.16713954533922357,54274.7,63152.471665590565,,,,
aecom,4,-0.086325056517498,0.19799486732857943,52333.979999999996,60455.648787687656,,,,
spire,4,-0.08992154785932663,0.13488917689744573,53969.905,60731.6803820441,,,,
adecco,4,-0.09429531911066352,0.12566095985498962,48999.0,55897.74409949336,,,,
reed,4,-0.0986157013524612,0.14363245944213526,65560.5,63326.24633538631,,,,
. aecom limited,4,-0.09983722669358674,0.20712263977004924,51398.79,60455.648787687656,,,,
border to coast,4,-0.11274971071711626,0.11274971071711626,43635.615000000005,48622.23400030774,,,,
london stock exchange group,4,-0.15261666513246214,0.15261666513246214,52984.555,60043.06593419192,,,,
wordsmith ai,4,-0.23634454648112305,0.23634454648112305,47392.19,61788.27412621054,,,,
lendable,4,-0.32344961664009597,0.32344961664009597,40710.115,59282.62073630667,,,,
data idols,3,0.3243442854334736,0.3243442854334736,80000.0,61936.83140987772,,,,
hays specialist recruitment limited,3,0.280272524430035,0.41336284552968877,104000.0,68838.4251353484,,,,
monzo,3,0.229726459410137,0.229726459410137,85500.0,71047.76723159348,,,,
anthropic,3,0.16677676395123864,0.4232429353392047,160000.0,114383.57715321926,,,,
deeprec.ai,3,0.1557161724967097,0.1557161724967097,69714.3,67458.71539186957,,,,
robert walters,3,0.13591908891457977,0.5284938942499076,52500.0,64394.783065371776,,,,
hfg,3,0.12645796063048817,0.15384558928054354,71165.66,60320.138322755396,,,,
trainline,3,0.12082914590464473,0.2016152134653856,78458.47,62048.388163972224,,,,
cure talent limited,3,0.11908879834184473,0.11908879834184473,75000.0,67018.81040282737,,,,
lorien,3,0.08907778820999146,0.14938903781708904,71055.66,61048.43977374586,,,,
pontoon,3,0.061012999954478044,0.061012999954478044,50004.39,45785.490802799024,,,,
robert half,3,0.05031710307037002,0.3442367326196496,40000.0,51430.633143372,,,,
s&p global,3,-0.0019394005306863499,0.07297146275990642,58190.34,55251.214234206884,,,,
hays,3,-0.014229456683690809,0.22249873610076573,37643.13,45542.83471776291,,,,
high finance  limited t/a hfg,3,-0.0197225512356125,0.104021220730778,57500.0,55256.46513131792,,,,
direct line group,3,-0.0453681954010505,0.10608916701134286,49791.21,56711.24126595592,,,,
avenue scotland,3,-0.05009383542160576,0.05009383542160576,43580.72,45634.732092272716,,,,
capital on tap,3,-0.06404696267697896,0.09574895526366993,55144.13,61048.43977374586,,,,
lj recruitment limited,3,-0.08109662271711508,0.33278190436591204,28000.0,39153.637302538176,,,,
wrisk,3,-0.0864043652402804,0.1741074633636852,51298.56,61936.83140987772,,,,
kbr,3,-0.09166590841654781,0.09166590841654781,43610.53,45873.48758651289,,,,
direct line insurance group,3,-0.09396677918153018,0.09396677918153018,52026.16,59086.151003187195,,,,
national highways,3,-0.1310376083739877,0.1310376083739877,65000.0,74801.85635925079,,,,
teya,3,-0.13447867581802028,0.15631698285669454,44953.11,56473.201334694124,,,,
hsbc,3,-0.13960253524577418,0.13960253524577418,50230.47,61449.83435199951,,,,
quorum network resources,3,-0.15044322888043474,0.15628339274248812,34295.32,44541.9777717489,,,,
ge vernova,3,-0.18507300191083095,0.18507300191083095,46819.27,58905.405242060086,,,,
oscar technology,3,-0.19680631337025692,0.19680631337025692,34000.0,42331.01002407823,,,,
agility,3,-0.20146608025723592,0.20146608025723592,31000.0,40846.31067047185,,,,
maxaccelerate,3,-0.2073513898629343,0.2073513898629343,47261.38,61936.83140987772,,,,
unknown,3,-0.22186541511745436,0.2248543360313698,45839.33,52244.77541031225,,,,
mistral ai,3,-0.2416113441089415,0.2416113441089415,48559.61,64748.31818562141,,,,
gsf car parts,3,-0.25529861043854307,0.25529861043854307,32285.39,43365.16391933676,,,,
fairhive homes,3,-0.3368297064658032,0.3368297064658032,41612.0,61936.83140987772,,,,
microtech global ltd,3,-0.34404252548648007,0.34404252548648007,45375.73,74002.44642070628,,,,
g mass,3,-0.4373977693949116,0.4373977693949116,30000.0,59255.79658203335,,,,
guidant global,2,1.0,1.0,185250.0,87055.22354297586,,,,
sanderson,2,1.0,1.0,185250.0,71573.24227148858,,,,
sanderson government and defence,2,1.0,1.0,130000.0,54431.573799858284,,,,
randstad technologies recruitment,2,0.801290579200429,0.801290579200429,123500.0,68934.53447235338,,,,
rev & regs,2,0.7330141604065852,0.7330141604065852,82971.35,48787.68367874333,,,,
cerberus capital management,2,0.5973730404617982,0.5973730404617982,76952.695,49080.07668668907,,,,
ventula consulting limited,2,0.5832348283789554,0.5832348283789554,182000.0,114954.52016195627,,,,
ameriprise,2,0.5499200142579905,0.5499200142579905,94999.78,60296.84658848969,,,,
eteam,2,0.44147988757540535,0.44147988757540535,101242.695,70237.19856621427,,,,
sharechat,2,0.436629270145611,0.436629270145611,92735.38500000001,64561.56304071787,,,,
morson edge,2,0.4350213990488515,0.5649786009511485,101102.08499999999,60502.818190929785,,,,
bright purple resourcing,2,0.4254008724533218,0.4254008724533218,100000.0,70204.12674393388,,,,
citi private bank,2,0.39065305366901626,0.39065305366901626,92503.785,66593.72427439984,,,,
createfuture,2,0.39040880141008055,0.39040880141008055,87474.87,62913.05831154659,,,,
flo health,2,0.3671126015065164,0.5926401328396452,91540.0,65483.60436334654,,,,
circadia health,2,0.3646512512146441,0.3646512512146441,84921.81,62229.67950559756,,,,
revtech,2,0.3608771328595097,0.3608771328595097,87845.535,64561.56304071787,,,,
harvey nash,2,0.35247154790774404,0.35247154790774404,83734.91500000001,60534.142190904444,,,,
bip solutions,2,0.3351851373781232,0.3351851373781232,83674.68,62668.97200811441,,,,
randstad sourceright,2,0.3251446499132671,0.6748553500867329,93250.0,66893.30427488766,,,,
platform recruitment,2,0.3192774585914313,0.3192774585914313,105000.0,81141.4594290177,,,,
fruition group,2,0.28371521378711306,0.28371521378711306,77500.0,60455.648787687656,,,,
ocho,2,0.2471899043551552,0.3591883913938614,77500.0,62094.33425869158,,,,
xodus group,2,0.2437704118676458,0.2437704118676458,75185.055,60455.648787687656,,,,
saris ai,2,0.23394131435862947,0.23394131435862947,82529.91500000001,66943.31441981552,,,,
method-resourcing,2,0.21091115403812793,0.21091115403812793,75000.0,61936.83140987772,,,,
filament,2,0.18215732626008477,0.23999437530348003,73227.17,62191.42120684745,,,,
searchability ns&d,2,0.16566631052309866,0.1969373872925963,72500.0,62158.70240981798,,,,
eames consulting,2,0.1643714679050258,0.2405004551749305,69616.455,59199.042375341574,,,,
coherent,2,0.1600071044714248,0.1600071044714248,60402.86,52317.76523376806,,,,
dexcom,2,0.15675852380160452,0.15675852380160452,60114.985,52351.677661576745,,,,
tech talent network,2,0.1549470696980984,0.1549470696980984,74552.61,64561.56304071787,,,,
pleo,2,0.14940129904929833,0.14940129904929833,72763.69,63331.18931471738,,,,
clearwater analytics,2,0.14721084987031108,0.14721084987031108,71054.605,61936.83140987772,,,,
kennedy pearce consulting,2,0.14411526955423237,0.15802423895476042,50000.0,43936.454915107635,,,,
higher - ai recruitment,2,0.13729201820306386,0.13729201820306386,73738.145,64841.123329458605,,,,
ribbons and reeves limited,2,0.13018374376891942,0.13018374376891942,70000.0,61936.83140987772,,,,
recraft,2,0.1301166717466912,0.16263432472296344,79971.625,71689.86372053548,,,,
trustpilot,2,0.11063391233590439,0.3783932568457129,54596.97,50728.55013541723,,,,
aj bell,2,0.11059736459853023,0.11059736459853023,62619.075,56565.09222652008,,,,
algo1,2,0.10338024805156122,0.10338024805156122,80012.795,72910.46298845316,,,,
tjx uk,2,0.10111784077867286,0.11196417489406674,61295.735,55985.43756190104,,,,
aig insurance,2,0.0990473403327006,0.0990473403327006,63883.880000000005,58192.814696644986,,,,
cme technology support services ltd,2,0.09358678602718154,0.09358678602718154,49905.53999999999,45634.732092272716,,,,
policy expert,2,0.08168113005216757,0.1258619019970818,60623.375,56045.51407592387,,,,
iberdrola,2,0.07908434819998472,0.07908434819998472,56206.975,52233.23060312853,,,,
eden smith group,2,0.07078564381363657,0.07078564381363657,72484.53,67694.83019161699,,,,
trg.recruitment,2,0.06081682291127522,0.06081682291127522,68476.44,64561.56304071787,,,,
natwest group,2,0.051103861481386355,0.08080825614139686,57193.115000000005,53785.78175107522,,,,
franklin templeton,2,0.041109143594642614,0.041109143594642614,56005.69,54028.371030584036,,,,
mcgregor boyall associates limited,2,0.03901904098311336,0.28703235592214116,78402.36499999999,75316.02341449907,,,,
avencia consulting services,2,0.03246723567783096,0.03246723567783096,61254.595,59328.75036611389,,,,
atominvest,2,0.027797071438455147,0.027797071438455147,59813.715,58192.814696644986,,,,
dgh recruitment ltd,2,0.021278633954283796,0.20591154080568752,60250.05,58973.68010176302,,,,
fractile,2,0.015515726938611127,0.058507333357454935,79248.98499999999,78038.16612363569,,,,
seekr,2,0.010126646876102798,0.01582896828699102,65204.354999999996,64561.56304071787,,,,
ntt data,2,0.004163470528293509,0.06703434674409112,66960.625,66593.72427439984,,,,
qbe,2,-0.0032471695662934664,0.005756164502475528,64260.475,64489.692382555135,,,,
clarenai,2,-0.006381929005889813,0.01557072673476617,64138.715,64561.56304071787,,,,
oliver james,2,-0.007436256174461683,0.18604272244516035,61118.0,61492.63559181179,,,,
fable data,2,-0.01557108205366975,0.01557108205366975,63545.55,64561.56304071787,,,,
burns sheehan,2,-0.018318442633717374,0.018318442633717374,63368.205,64561.56304071787,,,,
ageas insurance limited,2,-0.024959902501281883,0.23792052217826182,57500.0,59379.237463058336,,,,
worldpay,2,-0.03259942728318982,0.10179159997537854,49162.295,50287.64176580282,,,,
hypercube consulting,2,-0.0425623270463501,0.07544202156522975,56539.024999999994,59052.4340091818,,,,
latent labs,2,-0.04429384189688168,0.08985437445262637,68970.575,71573.24227148858,,,,
cathcart technology,2,-0.05493181689801753,0.05493181689801753,55000.0,58196.897973985295,,,,
capital one,2,-0.06373042489681066,0.06373042489681066,53327.935,56825.32524115588,,,,
blackhawk network,2,-0.0653483024665315,0.07916010498687567,48257.955,52186.959177037395,,,,
lj recruitment,2,-0.0676984290607627,0.4263127378867019,45000.0,50485.960855908415,,,,
idfc first bank,2,-0.06815884160782118,0.15910532579695244,48748.02,53639.6813292562,,,,
block mb,2,-0.07182044134808763,0.07182044134808763,59914.615000000005,64561.56304071787,,,,
future publishing,2,-0.08136376980270485,0.17118380843702,58750.0,64415.36065044345,,,,
dsb recruitment consultancy ltd,2,-0.08379961466509954,0.08379961466509954,52500.0,57301.87504866588,,,,
vermelo,2,-0.08975700972650816,0.17324512794365057,41538.695,45634.732092272716,,,,
tesco,2,-0.09832552410658976,0.47069149868313476,55846.86,61936.83140987772,,,,
intapeople,2,-0.10156150545381443,0.10156150545381443,41000.0,45634.732092272716,,,,
searchability  ltd,2,-0.10182876004186575,0.10182876004186575,55147.355,61302.90439290127,,,,
michael page finance,2,-0.10515894560985473,0.10515894560985473,45000.0,50485.960855908415,,,,
air apps,2,-0.10852302401952411,0.15056475615354897,54500.0,60296.84658848969,,,,
travelers,2,-0.11059201754637432,0.11059201754637432,40587.895000000004,45634.732092272716,,,,
noir,2,-0.11199848703870617,0.11199848703870617,55000.0,61936.83140987772,,,,
akkodis,2,-0.11355730540612671,0.11355730540612671,50000.0,56426.24472330036,,,,
entrust,2,-0.12793496497703302,0.12793496497703302,56292.385,64561.56304071787,,,,
scott logic,2,-0.13130621291398373,0.13130621291398373,55809.09,64330.53326149593,,,,
cognizant,2,-0.13496964108169762,0.13496964108169762,56020.21,64726.02668127742,,,,
alphasights,2,-0.1378283392820563,0.1378283392820563,50235.634999999995,58192.814696644986,,,,
markerstudy insurance,2,-0.13896358034549494,0.13896358034549494,45192.335,52186.959177037395,,,,
randstad digital,2,-0.14131831476647738,0.14131831476647738,64411.884999999995,75070.50461670948,,,,
gentek.ai,2,-0.14203497764955797,0.14203497764955797,55382.22,64561.56304071787,,,,
intercontinental exchange,2,-0.1442374350133357,0.1442374350133357,49650.095,58018.54045902758,,,,
jack & jill,2,-0.14825945354120826,0.14825945354120826,55581.61,65256.503557435266,,,,
vermelo rpo,2,-0.16209320533665256,0.16209320533665256,44599.93,53143.2668429037,,,,
resillion,2,-0.16366751341587643,0.16366751341587643,53900.205,64474.73256067402,,,,
castle trust bank,2,-0.16917444229388043,0.16917444229388043,45216.51,54007.652751015485,,,,
onsera health,2,-0.1711853374174565,0.1711853374174565,63595.445,76761.4380546734,,,,
zego,2,-0.17255986256785466,0.17255986256785466,47823.55,58112.433721431305,,,,
intercom,2,-0.17546855844386813,0.17546855844386813,56011.2,67930.94499136442,,,,
octopus energy group,2,-0.17838706472173257,0.17838706472173257,49758.06,60296.84658848969,,,,
office angels,2,-0.18029886150548932,0.18029886150548932,36502.149999999994,44492.84500661907,,,,
swift,2,-0.1803927309946079,0.1803927309946079,50035.744999999995,61048.43977374586,,,,
lexisnexis risk solutions,2,-0.19281224893407028,0.19281224893407028,50924.95,61634.067305454264,,,,
experis,2,-0.19444809840450966,0.19444809840450966,48953.16,60455.648787687656,,,,
vanrath,2,-0.19510621897737668,0.19510621897737668,45000.0,55445.617824853995,,,,
james fisher and sons,2,-0.19647544333268863,0.19647544333268863,49767.765,61936.83140987772,,,,
duffel,2,-0.19984543139875974,0.19984543139875974,41647.65,52049.50597583259,,,,
travelers insurance company,2,-0.20119269245593863,0.20119269245593863,41181.515,51553.753466042835,,,,
edft,2,-0.20457688034713342,0.20457688034713342,44016.479999999996,55337.18961954411,,,,
saragossa,2,-0.20498831755930236,0.20498831755930236,53816.604999999996,67694.83019161699,,,,
arriva,2,-0.21309022197302663,0.21309022197302663,41394.8,53639.6813292562,,,,
unsworth,2,-0.22290551188588806,0.22290551188588806,38750.0,50485.960855908415,,,,
amazon digital uk limited,2,-0.24002586261228842,0.24002586261228842,49593.255,65256.503557435266,,,,
cititec,2,-0.2467452199454424,0.2467452199454424,54744.380000000005,72725.1142952393,,,,
broadstone,2,-0.26943986299839495,0.26943986299839495,35000.0,48787.68367874333,,,,
sas,2,-0.2937480793278059,0.2937480793278059,41650.83,58974.46616549759,,,,
opus 2,2,-0.31702128710047084,0.31702128710047084,40125.0,58637.01051471091,,,,
kleboe jardine ltd,2,-0.3200488934963454,0.3200488934963454,50861.605,74801.85635925079,,,,
rockstar games,2,-0.3556832164062622,0.3556832164062622,39906.94,61936.83140987772,,,,
sedex,2,-0.3603266456224394,0.3603266456224394,31302.055,49923.61934821223,,,,
e-careers limited,2,-0.39588899324196647,0.39588899324196647,36500.0,60455.648787687656,,,,
iqvia,2,-0.4014731425868772,0.4014731425868772,39057.77,65256.503557435266,,,,
quantum group,2,-0.42598846378445315,0.42598846378445315,27500.0,48787.68367874333,,,,
lit8,2,-0.4270326535245169,0.4270326535245169,37125.31,64840.85795633384,,,,
上海衍复投资管理有限公司,2,-0.4495532674610684,0.4495532674610684,41771.715,75946.21370312409,,,,
wpp media,2,-0.46274493696956065,0.46274493696956065,33292.975,61968.6575166137,,,,
pearson,2,-0.5088097423429152,0.5088097423429152,30898.315000000002,62904.98339152948,,,,
roku,2,-0.5384709893886335,0.5384709893886335,27153.255,58833.25722912048,,,,
zenergi,2,-0.5398537614655113,0.5398537614655113,28500.0,61936.83140987772,,,,
srg,2,-0.5400113857215536,0.5400113857215536,27000.0,58734.45791298873,,,,
cer financial ltd,1,1.0,1.0,140400.0,55337.18961954411,,,,
lingonova,1,1.0,1.0,184000.0,61048.43977374586,,,,
permutive,1,1.0,1.0,192000.0,65256.503557435266,,,,
rullion managed services,1,1.0,1.0,169000.0,69859.954417588,,,,
sellick partnership,1,1.0,1.0,123500.0,52044.56911728697,,,,
sr2 rec ltd,1,1.0,1.0,149500.0,65256.503557435266,,,,
almedia,1,0.9899863633138061,0.9899863633138061,155000.0,77889.98098554189,,,,
gocardless,1,0.8253831153940703,0.8253831153940703,124000.0,67930.94499136442,,,,
mitsubishi ufj financial group,1,0.7948532884069115,0.7948532884069115,117125.85,65256.503557435266,,,,
sf partners admin,1,0.7931964032140119,0.7931964032140119,117000.0,65246.61759877312,,,,
morgan hunt recruitment,1,0.7619254008079359,0.7619254008079359,97500.0,55337.18961954411,,,,
cmc markets,1,0.7251128065866674,0.7251128065866674,112574.83,65256.503557435266,,,,
lawhive,1,0.6928956312122426,0.6928956312122426,115000.0,67930.94499136442,,,,
peninsula,1,0.637290208013554,0.637290208013554,74717.3,45634.732092272716,,,,
claimsorted,1,0.6369242665968404,0.6369242665968404,127500.0,77889.98098554189,,,,
lma recruitment,1,0.6303854716925409,0.6303854716925409,90220.95,55337.18961954411,,,,
rework recruitment,1,0.6222060075223078,0.6222060075223078,100474.3,61936.83140987772,,,,
"cadence design systems, inc.",1,0.6159083588069674,0.6159083588069674,100801.29,62380.573409758246,,,,
markit placements,1,0.6145482053841705,0.6145482053841705,100000.0,61936.83140987772,,,,
stint,1,0.6048277123498436,0.6048277123498436,125000.0,77889.98098554189,,,,
belcan,1,0.5732938414929417,0.5732938414929417,92414.0,58739.18626180207,,,,
russell taylor group ltd,1,0.5462834955975235,0.5462834955975235,100000.0,64671.19404993548,,,,
access computer consulting,1,0.5430406736473118,0.5430406736473118,91000.0,58974.46616549759,,,,
gilead sciences,1,0.5345986155785715,0.5345986155785715,135216.48,88111.9522898963,,,,
euphoric global,1,0.5324143119618012,0.5324143119618012,100000.0,65256.503557435266,,,,
astrazeneca,1,0.5288048714298368,0.5288048714298368,93926.67,61437.971421528586,,,,
skyscanner,1,0.5008549498574281,0.5008549498574281,92958.2,61936.83140987772,,,,
